month_year,County,vendor_name,Sale (Dollars)
2012-03,Marion,diageoamericas,22437.379999999986
2012-03,Marshall,diageoamericas,44336.919999999925
2012-03,Mills,diageoamericas,5042.41
2012-03,Mitchell,diageoamericas,5450.599999999998
2012-03,Monona,diageoamericas,6495.99
2012-03,Monroe,diageoamericas,4331.020000000001
2012-03,Montgomery,diageoamericas,6545.95
2012-03,Muscatine,diageoamericas,30940.10999999998
2012-03,O'Brien,diageoamericas,17372.989999999998
2012-03,Osceola,diageoamericas,3644.1200000000003
2012-03,Page,diageoamericas,16386.999999999985
2012-03,Palo Alto,diageoamericas,9081.739999999994
2012-03,Plymouth,diageoamericas,28283.409999999974
2012-03,Pocahontas,diageoamericas,4487.41
2012-03,Polk,diageoamericas,868217.8499999988
2012-03,Pottawattamie,diageoamericas,142086.49000000046
2012-03,Poweshiek,diageoamericas,26917.559999999965
2012-03,Ringgold,diageoamericas,1262.92
2012-03,Sac,diageoamericas,7305.389999999998
2012-03,Scott,diageoamericas,302349.2900000013
2012-03,Shelby,diageoamericas,9004.439999999997
2012-03,Sioux,diageoamericas,23572.61999999997
2012-03,Story,diageoamericas,123719.4000000003
2012-03,Tama,diageoamericas,9769.319999999994
2012-03,Taylor,diageoamericas,1070.5200000000002
2012-03,Union,diageoamericas,12415.269999999988
2012-03,Unknown,diageoamericas,3156.7300000000005
2012-03,Van Buren,diageoamericas,2949.2400000000002
2012-03,Wapello,diageoamericas,35657.11999999997
2012-03,Warren,diageoamericas,26028.07999999997
2012-03,Washington,diageoamericas,17606.899999999994
2012-03,Wayne,diageoamericas,2650.26
2012-03,Webster,diageoamericas,34708.48999999997
2012-03,Winnebago,diageoamericas,6111.660000000001
2012-03,Winneshiek,diageoamericas,18577.08999999998
2012-03,Woodbury,diageoamericas,126778.5800000003
2012-03,Worth,diageoamericas,2870.1
2012-03,Wright,diageoamericas,8441.559999999994
2012-04,Adair,diageoamericas,7870.969999999996
2012-04,Adams,diageoamericas,917.0900000000001
2012-04,Allamakee,diageoamericas,16090.209999999983
2012-04,Appanoose,diageoamericas,6272.229999999997
2012-04,Audubon,diageoamericas,2995.5400000000004
2012-04,Benton,diageoamericas,9731.769999999993
2012-04,Black Hawk,diageoamericas,237454.28000000096
2012-04,Boone,diageoamericas,26637.55999999999
2012-04,Bremer,diageoamericas,34047.55999999999
2012-04,Buchanan,diageoamericas,22744.279999999988
2012-04,Buena Vista,diageoamericas,34023.09999999999
2012-04,Butler,diageoamericas,4287.240000000001
2012-04,Calhoun,diageoamericas,5848.990000000001
2012-04,Carroll,diageoamericas,45217.409999999996
2012-04,Cass,diageoamericas,15321.95999999999
2012-04,Cedar,diageoamericas,4791.789999999997
2012-04,Cerro Gordo,diageoamericas,82693.27000000021
2012-04,Cherokee,diageoamericas,12811.3
2012-04,Chickasaw,diageoamericas,5834.780000000001
2012-04,Clarke,diageoamericas,7922.319999999999
2012-04,Clay,diageoamericas,17906.349999999988
2012-04,Clayton,diageoamericas,13587.58999999999
2012-04,Clinton,diageoamericas,50308.36000000002
2012-04,Crawford,diageoamericas,28800.149999999994
2012-04,Dallas,diageoamericas,103354.7900000001
2012-04,Davis,diageoamericas,1424.79
2012-04,Decatur,diageoamericas,2557.42
2012-04,Delaware,diageoamericas,16636.459999999992
2012-04,Des Moines,diageoamericas,56546.82000000003
2012-04,Dickinson,diageoamericas,61726.610000000044
2012-04,Dubuque,diageoamericas,128187.60000000034
2012-04,Emmet,diageoamericas,14748.739999999994
2012-04,Fayette,diageoamericas,18270.499999999993
2012-04,Floyd,diageoamericas,17528.78999999999
2012-04,Franklin,diageoamericas,7016.099999999998
2012-04,Greene,diageoamericas,5789.209999999996
2012-04,Grundy,diageoamericas,4791.930000000002
2012-04,Guthrie,diageoamericas,4124.3200000000015
2012-04,Hamilton,diageoamericas,11929.68999999999
2012-04,Hancock,diageoamericas,3939.980000000001
2012-04,Hardin,diageoamericas,31780.85999999998
2012-04,Harrison,diageoamericas,7721.6699999999955
2012-04,Henry,diageoamericas,14072.019999999995
